region,month_no,popdensity,ssta,soi,typhoon_distance,typhoon_wind,rainfall,poverty,ndvi,evi,daily_temp,nightly_temp,polstab,dengue,dengue_next
CAR,7,184.2113964,26.1500001,-0.51875,17.25457511,61.5497489,1.087857813,14291.15308,6814.28125,4327.4375,11258.66488,6307.375,-0.081772585,41,24
VII,1,1071.766162,25.82500029,-0.3625,2.187149123,8.681818183,3.80599375,15064.20898,6325.041667,4010.958333,11229.14583,14497.23558,-0.097857244,143,80
VI,6,686.4644733,26.42500019,-0.6875,12.3429947,77.35136128,1.688633333,12529.30013,7477.916667,5749.791667,15469.81657,8723.814815,-0.058227142,289,596
VIII,1,498.0646939,25.82500029,-0.3625,1.905706632,8.681818183,3.8522375,11980.20573,7474.194444,4991.361111,15047.5625,14517.81197,-0.097857243,71,59
X,7,428.0570917,25.54000015,-0.28,-1,-1,0.615763333,12926.38639,4937.466667,3885.4,9144.175555,9029.679233,-0.091570151,375,410
V,2,2190.412532,25.99999952,0.7375,-1,-1,4.319970833,13335.97738,7649.534722,5228.618056,11950.27708,12855.18584,-0.032891771,8,12
XI,6,413.272375,26.5,0.1125,-1,-1,4.336546875,13562.44726,7288.375,4402.5625,7796.986111,1900.5,-0.092324385,243,369
CAR,6,189.1045911,26.84999943,0.325,3.404313119,20.41071429,3.828771875,14291.15308,6977.28125,3852.9375,12262.58036,9043.796475,-0.043601377,30,60
II,5,241.4498478,26.92500019,-0.2,-1,-1,1.032677083,13819.59017,6528.041667,4420.958333,13144.38523,10043.87566,-0.092983021,36,110
XI,9,427.7069049,24.94999981,-0.0625,29.05164836,67.76515151,1.514296875,13562.44726,7042.5,5012,14439.15476,5616.3125,-0.068146767,152,59
XII,4,261.3752158,27.52000046,-0.08,-1,-1,2.93107,12567.88526,7601.55,4985.85,12211.3,13215.75746,-0.09371067,37,45
XI,3,437.2483737,26.875,-0.0375,1.720212993,11.0882353,1.545359375,13562.44726,7211.5,5276.25,16172.36414,14763.25947,-0.047404139,134,98
I,1,370.6842392,26.42499972,-0.3875,6.926469423,8.403225808,0.9169625,14512.18652,5823.375,3265.625,15306.29583,14519.62876,-0.067107047,8,1
XIII,3,342.4767785,27.14000015,-0.16,10.70796236,27.18369565,1.498215,14437.67285,6700.066667,4708.5,14295.68214,11748.39894,-0.085241015,6,10
XII,8,279.6192534,25.25000048,-0.0375,21.02968793,63.6910636,0.44403125,12567.88526,7419.375,5007.4375,11468.625,11049.60684,-0.040912665,215,130
III,1,985.8819987,24.9000001,1.2625,-1,-1,1.03246625,13843.37539,6866.925,4759.825,14525.41357,14866.55489,-0.095659922,177,101
VII,6,1080.275394,26.42500019,-0.6875,12.24742548,77.35136128,2.22313125,15064.20898,6502.375,4656.375,15100.16667,10991.27222,-0.058227142,67,160
